StudentID,Age,Gender,AttendancePercentage,StudyHoursPerWeek,AssignmentCompletionRate,PreviousExamScore,ParticipationScore,ExtracurricularActivities,InternetAccessAtHome,ParentEducationLevel,FinalExamScore
1,24,Male,70,25,60,76,9,No,Yes,High School,99.33
2,21,Male,77,10,88,92,5,No,No,Graduate,91.52
3,22,Female,89,7,86,64,6,No,Yes,Postgraduate,77.66
4,24,Female,50,22,45,59,3,No,No,Postgraduate,70.58
5,20,Female,85,17,87,97,10,No,No,High School,100.0
6,22,Female,70,18,88,53,8,Yes,No,Postgraduate,88.88
7,22,Male,92,17,42,42,7,No,Yes,High School,68.37
8,24,Female,84,9,49,37,1,Yes,No,Postgraduate,56.47
9,19,Female,62,10,44,51,10,Yes,Yes,Postgraduate,76.12
10,20,Male,98,10,85,48,5,Yes,Yes,Postgraduate,74.91
11,24,Male,59,25,65,43,10,No,Yes,High School,92.57
12,20,Female,93,7,100,96,9,No,No,Graduate,91.84
13,20,Female,96,16,60,55,6,No,Yes,Postgraduate,72.0
14,22,Male,59,29,84,71,8,No,No,Postgraduate,100.0
15,21,Female,95,18,65,45,10,No,Yes,Postgraduate,82.67
16,20,Male,62,6,77,54,1,No,Yes,High School,61.34
17,23,Male,86,27,83,69,10,No,Yes,Graduate,100.0
18,22,Male,87,20,65,87,7,No,No,High School,100.0
19,19,Male,73,1,47,81,3,Yes,No,Postgraduate,64.2
20,21,Female,51,1,44,86,9,No,No,High School,70.76
21,23,Male,71,12,54,42,6,Yes,No,Postgraduate,61.89
22,23,Male,66,21,98,38,5,Yes,Yes,Postgraduate,70.88
23,19,Female,85,28,55,61,8,Yes,Yes,High School,97.2
24,21,Male,63,2,40,78,8,Yes,No,Postgraduate,75.35
25,22,Female,59,4,55,74,3,No,No,Postgraduate,59.61
26,18,Female,84,17,76,81,2,No,No,Graduate,84.98
27,21,Female,74,4,42,78,2,Yes,No,High School,64.79
28,19,Male,52,11,91,82,5,Yes,Yes,High School,75.76
29,23,Female,96,22,86,86,10,Yes,No,Postgraduate,100.0
30,22,Female,87,26,70,45,7,No,No,Postgraduate,84.44
31,21,Male,66,4,52,38,8,Yes,Yes,High School,53.45
32,18,Female,61,1,95,82,10,Yes,No,High School,92.24
33,18,Female,73,7,55,60,8,No,Yes,High School,64.54
34,20,Female,78,30,94,73,8,Yes,No,Postgraduate,100.0
35,20,Female,92,18,82,92,10,No,Yes,Graduate,100.0
36,24,Female,74,9,60,53,3,No,No,Graduate,64.26
37,19,Male,85,29,41,92,2,Yes,No,Postgraduate,98.3
38,21,Female,75,3,93,62,4,Yes,No,Postgraduate,70.44
39,21,Female,87,8,66,100,1,Yes,No,Postgraduate,81.57
40,24,Male,50,29,77,44,3,No,No,High School,74.91
41,23,Male,69,24,65,92,9,No,Yes,Postgraduate,100.0
42,23,Male,77,19,97,48,7,No,No,High School,82.92
43,24,Female,65,4,98,49,7,Yes,Yes,Graduate,55.75
44,23,Male,96,18,77,67,1,Yes,Yes,Postgraduate,82.66
45,20,Female,66,20,85,51,7,Yes,Yes,Postgraduate,87.44
46,21,Female,89,27,64,58,10,Yes,Yes,High School,100.0
47,24,Male,77,11,50,64,7,Yes,No,High School,72.2
48,21,Male,61,27,47,96,4,Yes,No,High School,95.96
49,18,Female,76,14,47,47,7,No,No,Graduate,63.87
50,20,Male,91,25,72,96,8,No,No,Graduate,100.0
51,22,Female,96,18,92,81,3,No,Yes,Postgraduate,96.3
52,20,Male,79,28,46,50,10,Yes,Yes,Postgraduate,97.34
53,24,Male,90,28,77,100,2,No,Yes,High School,100.0
54,22,Male,83,29,60,77,7,No,No,Graduate,100.0
55,18,Female,86,16,47,42,5,No,No,Postgraduate,68.46
56,24,Male,55,3,90,37,5,Yes,No,High School,53.01
57,19,Female,56,15,93,46,5,Yes,No,High School,70.68
58,21,Female,81,27,60,50,7,No,Yes,Graduate,95.3
59,18,Female,81,27,95,93,9,Yes,No,Graduate,100.0
60,21,Female,74,4,59,83,8,Yes,No,Postgraduate,78.34
61,23,Male,82,5,47,97,6,Yes,Yes,Postgraduate,81.89
62,19,Female,56,17,97,96,7,Yes,Yes,High School,95.14
63,19,Female,61,7,85,83,9,No,No,High School,84.2
64,18,Male,65,16,70,85,6,Yes,No,High School,86.72
65,19,Female,65,14,89,67,1,No,Yes,Postgraduate,76.53
66,22,Male,92,26,96,64,4,No,No,Graduate,97.76
67,19,Female,85,16,68,93,8,Yes,Yes,Postgraduate,100.0
68,21,Male,62,7,87,49,7,Yes,Yes,Graduate,60.09
69,21,Female,56,9,48,57,3,Yes,No,Postgraduate,43.85
70,24,Male,85,4,54,79,10,No,Yes,Postgraduate,81.79
71,21,Female,96,30,69,96,3,No,No,Graduate,100.0
72,24,Female,100,30,65,49,3,No,No,Postgraduate,93.11
73,21,Male,58,22,49,80,1,No,No,Postgraduate,76.67
74,22,Male,81,11,68,98,10,No,No,High School,100.0
75,24,Male,60,2,93,80,1,No,Yes,Graduate,63.92
76,20,Male,57,12,55,90,6,No,No,Graduate,80.01
77,23,Female,82,12,75,78,1,Yes,No,High School,88.1
78,18,Female,72,30,59,63,5,No,Yes,Graduate,99.3
79,21,Male,74,4,84,96,4,No,No,High School,88.35
80,19,Female,57,18,93,86,5,No,No,Graduate,92.29
81,21,Male,94,26,76,88,7,No,No,Graduate,100.0
82,19,Male,71,21,61,91,6,Yes,No,Graduate,95.52
83,23,Female,53,7,46,100,9,No,Yes,Graduate,80.83
84,23,Female,89,29,62,56,6,No,Yes,High School,98.09
85,23,Female,52,1,80,54,9,Yes,No,High School,59.56
86,19,Female,78,26,79,67,4,Yes,Yes,Graduate,100.0
87,21,Female,90,26,68,59,1,No,Yes,Postgraduate,91.66
88,23,Female,78,23,55,80,1,No,Yes,High School,98.37
89,22,Female,83,26,77,91,10,No,Yes,Graduate,100.0
90,24,Male,83,13,67,39,7,No,No,High School,79.78
91,19,Male,77,6,87,89,3,No,Yes,Postgraduate,68.28
92,19,Male,62,6,77,95,2,No,No,Postgraduate,70.6
93,21,Male,64,12,70,42,6,Yes,No,Postgraduate,56.84
94,19,Male,72,8,53,50,6,Yes,Yes,Graduate,64.67
95,19,Female,93,24,92,82,7,No,No,Graduate,100.0
96,23,Male,75,22,72,95,5,No,Yes,Postgraduate,100.0
97,21,Male,53,19,96,49,8,No,No,High School,81.41
98,23,Male,75,5,48,99,7,Yes,No,High School,89.38
99,24,Male,89,18,96,56,2,No,Yes,Postgraduate,77.34
100,24,Male,58,30,66,37,1,Yes,No,Graduate,81.89
101,23,Male,54,5,63,88,9,Yes,Yes,High School,79.2
102,24,Male,81,30,52,48,5,No,No,High School,100.0
103,21,Female,69,25,65,70,5,Yes,No,High School,96.91
104,18,Female,99,10,68,44,10,No,Yes,Graduate,75.28
105,23,Male,60,1,90,83,4,Yes,Yes,Postgraduate,69.88
106,22,Female,64,10,88,99,2,No,Yes,Graduate,80.5
107,22,Female,81,5,82,91,5,No,No,High School,84.75
108,19,Female,77,12,67,61,2,Yes,Yes,Postgraduate,68.78
109,24,Female,71,22,67,39,7,Yes,Yes,Graduate,82.32
110,22,Male,90,30,47,91,9,Yes,Yes,Postgraduate,100.0
111,19,Female,66,27,62,49,9,No,Yes,High School,88.8
112,18,Female,75,7,68,64,6,Yes,No,Graduate,65.6
113,21,Female,93,9,44,54,1,Yes,No,Postgraduate,56.31
114,21,Male,56,22,81,71,6,No,No,Graduate,93.73
115,21,Male,91,21,46,37,5,No,No,High School,80.07
116,22,Male,75,12,81,75,4,Yes,No,Postgraduate,69.64
117,18,Male,74,23,75,73,6,Yes,No,High School,100.0
118,22,Male,59,29,80,60,6,Yes,Yes,Postgraduate,100.0
119,24,Male,94,1,66,36,6,No,No,High School,48.37
120,22,Male,68,11,97,57,2,No,Yes,High School,74.13
121,18,Female,60,30,85,57,7,Yes,Yes,Graduate,94.6
122,18,Female,62,21,41,50,4,No,Yes,High School,71.76
123,24,Female,57,15,64,43,9,Yes,Yes,Graduate,74.86
124,18,Male,89,2,48,47,10,Yes,No,High School,65.95
125,18,Male,53,20,92,62,2,No,No,High School,76.44
126,21,Male,96,7,66,61,5,Yes,No,High School,69.56
127,24,Male,80,21,40,85,4,Yes,Yes,Postgraduate,88.86
128,20,Male,77,12,62,98,9,No,No,Graduate,100.0
129,20,Female,60,22,49,86,4,Yes,No,Postgraduate,81.14
130,18,Female,92,18,81,72,8,Yes,No,Graduate,95.74
